0|Dagger|piercing|4|1|4|2 
0|Sling|bludgeoning|4|1|4|2 
1|Spear|piercing|3|1|6|None 
2|Blood|piercing|5|1|4|3 
3|Talon|slashing|4|1|4|2 
3|Javelin|piercing|5|1|6|2 
4|Bite|bludgeoning|3|1|4|1 
4|Spear|piercing|4|1|6|1 
5|Bite|piercing|3|1|6|None 
5|Claws|slashing|5|2|4|None 
6|Shortsword|piercing|5|1|6|2 
6|Hand|piercing|5|1|6|2 
7|Longsword|slashing|5|1|8|1 
8|Scimitar|slashing|5|1|6|2 
8|Shortbow|piercing|5|1|6|2 
9|Spiked|bludgeoning|5|1|4|3 
10|Bite|piercing|4|1|4|2 
10|Sting|piercing|4|1|4|2 
11|Bite|piercing|6|2|4|1 
12|Shortsword|piercing|5|1|6|2 
12|Shortbow|piercing|5|1|6|2 
13|Longsword|slashing|1|None|None|None 
13|Shortbow|piercing|1|None|None|None 
14|Claws|slashing|2|1|4|None 
15|Rotting|necrotic|4|1|8|None 
16|Slam|bludgeoning|4|1|6|1 
17|Bite|piercing|3|1|4|1 
18|Crush|bludgeoning|6|1|6|3 
19|Claws|slashing|4|1|4|2 
20|Bite|piercing|4|1|4|2 
20|Spear|piercing|5|1|6|2 
20|Longbow|piercing|5|1|8|1 
21|War|piercing|6|1|8|2 
21|Poisoned|piercing|4|1|4|2 
22|Pseudopod|bludgeoning|4|1|6|1 
23|Longsword|slashing|5|1|8|1 
23|Longbow|piercing|5|1|8|1 
24|Claws|slashing|3|1|4|1 
25|Bite|piercing|5|1|6|2 
25|Heavy|bludgeoning|5|1|6|2 
25|Javelin|piercing|5|1|6|2 
25|Spiked|piercing|5|1|6|2 
26|Claws|slashing|3|1|4|1 
27|Touch|fire|7|2|6|None 
28|Greataxe|slashing|9|1|12|3 
28|Javelin|piercing|6|1|6|3 
29|Bite|piercing|5|1|8|1 
30|Bite|piercing|3|1|4|1 
30|Claws|slashing|3|1|4|1 
30|Spear|piercing|4|1|6|1 
31|Ram|bludgeoning|6|2|4|1 
31|Shortsword|piercing|6|1|6|3 
31|Shortbow|piercing|6|1|6|3 
32|Strength|necrotic|9|2|6|2 
